Data;Cyanophyta;Prochlorophyta;Glaucophyta;Rhodophyta;Chrysophyceae;Xanthophyceae;Eustigmatophyceae;Diatomophyceae;Raphidophyceae;Phaeophyceae;Haptophyta;Cryptophyta;Dinophyta I;Dinophyta II;Euglenophyta;Chlorophyta;SUM
Chlorophyll a;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16
Chlorophyll b;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3
Chlorophyll c;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;0;8
Phycobiline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Phycocyanin;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;4
Phycoerythrin;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3
Carotine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alpha-Carotin;0;0;0;1;0.5;0;0;0;0;0;0.5;1;0;0.5;0;0.3;3.8
beta-carotin;1;1;1;1;1;1;1;1;1;1;1;0.3;1;1;1;1;15.3
Xanthophylle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allocanthin;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Diadinoxanthin;0;0;0;0;0.5;1;0;1;1;0.5;1;0;1;1;0.5;0;7.5
Diatoxanthin;0;0;0;0;0.5;1;0;1;0;0.5;1;0;0;1;0.3;0;5.3
Echinenon;1;0.5;0;0;0;0;0;0.5;0;0;0.5;0;0.5;0;0.3;0.3;3.6
Fucoxanthin;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;6
Heterocanthin;0;0;0;0;0;1;0;;0.5;0;0;0;0;0;0;0;1.5
Lutein;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;1;1.5
Myxoxnthophyll;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Neoxanthin;0;0;0;0;0.5;0.5;0.5;0.5;0.5;0.5;0;0;0;0;1;1;5
Peridinin;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Vaucheriacanthin;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
Violaxanthin;0;0;0;0.3;0.5;0;1;0;0.5;1;0;0;0;0;0;1;4.3
Zeaxantin;1;1;1;1;0.5;0;0.3;0;0.5;0.3;0;0.5;0;0;0.3;0.5;6.9
SUM;7;4.5;4;6.8;7;6.5;4.8;7;7;6.8;7;6.8;5.5;6.5;5.4;7.1;0
