Pigment,Cyanophyta,Prochlorophyta,Glaucophyta,Rhodophyta,Chrysophyceae,Xanthophyceae,Eustigmatophyceae,Diatomophyceae,Raphidophyceae,Phaeophyceae,Haptophyta,Cryptophyta,Dinophyta I,Dinophyta II,Euglenophyta,Chlorophyta
[Mg]-Chl?a,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
[Mg]-Chl?b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
[Mg]-Chl?c1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0
Phycobiline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phycocyanin,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Phycoerythrin,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
alpha-Carotin,0,0,0,1,0.5,0,0,0,0,0,0.5,1,0,0.5,0,0.3
beta-carotene,1,1,1,1,1,1,1,1,1,1,1,0.3,1,1,1,1
Allocanthin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cis-diadinoxanthin,0,0,0,0,0.5,1,0,1,1,0.5,1,0,1,1,0.5,0
diatoxanthin,0,0,0,0,0.5,1,0,1,0,0.5,1,0,0,1,0.3,0
trans-echinenone,1,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0.3,0.3
fucoxanthin,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0
Heterocanthin,0,0,0,0,0,1,0,,0.5,0,0,0,0,0,0,0
lutein,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1
myxoxanthophyll,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neoxanthin,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,1,1
Peridinin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Vaucheriacanthin,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
violaxanthin,0,0,0,0.3,0.5,0,1,0,0.5,1,0,0,0,0,0,1
all-trans-zeaxanthin,1,1,1,1,0.5,0,0.3,0,0.5,0.3,0,0.5,0,0,0.3,0.5
