Pigment,Found,Cyanophyta,Prochlorophyta,Glaucophyta,Rhodophyta,H/Chrysophycceae,H/Xantophyceae,H/Eustigmatophyceae,H/Bacillariophyceae,"H/Raphodophyceae,freshwater","H/Raphodophyceae,marine",H/Dictyochophyceae,H/Phaeophyceae,Haptopyta,"Haptopyta,some",Cryptophyta,Dinophyta I,Dinophyta II,Euglenophyta,Chlorarachniophyta,"Chlorophyta,some",Chlorophyta,Chlorophyta.1
[Mg]-Chl?a,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[Mg]-Chl?b,True,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
[Mg]-Chl?c1,True,,,,,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,0.1,,
[Mg]-Chl?c2,True,,,,,1.0,0.5,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.1,,
[Mg]-Chl?c3,False,,,,,0.1,,,1.0,,,,1.0,,,,,,,,0.1,,
Phycocyanin,True,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,
allophycocyanin,True,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
Phycoerythrin,True,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,
phycobilisome,True,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
alpha-carotene,True,,,,1.0,0.5,,,,,,,,0.5,0.5,1.0,,0.5,,,0.1,0.1,0.1
beta-carotene,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,,1.0,1.0,1.0
gamma-carotene,False,,,,,,,,,,,,,,,,,,0.1,,0.1,0.1,0.1
epsilon-carotene,False,,,,,0.5,,,0.5,,,,0.5,,,0.1,,,,,,,
all-trans-zeaxanthin,True,1.0,1.0,1.0,1.0,0.5,,0.1,,,0.5,,0.1,,,0.5,,,0.1,,0.5,0.5,0.5
cis-echinenone,True,1.0,0.5,,,,,,0.5,,,,,0.5,0.5,,0.5,,0.1,,0.1,0.1,0.1
cis-canthaxanthin,True,1.0,,,,,,0.5,0.5,,,,,0.5,0.5,,0.5,,,,,,
myxoxanthophyll,True,1.0,,,,,,,,,,,,,,,,,,,,,
oscillaxanthin,False,1.0,,,,,,,,,,,,,,,,,,,,,
alpha-cryptoxanthin,False,,,,0.1,0.5,,0.1,,,,,,,,,,,,,,,
beta-cryptoxanthin,True,0.5,0.5,0.5,0.1,,0.5,0.1,,,,,,0.5,0.5,,,,0.1,,0.1,0.1,0.1
isocryptoxanthin,False,0.5,0.5,,,,,,,,,,,,,,,,,,,,
mutachrome,False,0.5,0.5,,,,,,,,,,,,,,,,,,,,
lutein,True,,,,0.5,,,,,,,0.5,,,,,,,,0.5,0.5,1.0,1.0
antheraxanthin,True,,,,0.1,0.5,,0.5,,,,,0.5,,,,,,,,,0.5,0.5
violaxanthin,True,,,,0.1,0.5,,1.0,,,0.5,,1.0,,,,,,,0.5,0.5,1.0,1.0
fucoxanthin,True,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,
neofucoxanthin,False,,,,,0.5,,,0.5,,,,,,,,,0.5,,,,,
fucoxanthin-der1,False,,,,,,,,,,,,,,1.0,,,1.0,,,,,
fucoxanthin-der2,False,,,,,,,,,,,,,,1.0,,,,,,,,
diatoxanthin,True,,,,,0.5,1.0,,1.0,,,0.5,0.5,1.0,1.0,,,1.0,0.1,,,,
cis-diadinoxanthin,True,,,,,0.5,1.0,,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,1.0,1.0,0.5,,,,
vaucheriaxanthin,True,,,,,,1.0,1.0,,0.5,0.5,,,,,,,,,,,,
heteroxanthin,False,,,,,,1.0,,,0.5,0.5,,,,,,,,,,,,
Alloxanthin,True,,,,,,,,,,,,,,,1.0,,,,,,,
dinoxanthin,False,,,,,,,,,0.5,0.5,,,0.5,0.5,,0.5,,,,,,
Peridinin,True,,,,,,,,,,,,,,,,1.0,,,,,,
neoxanthin,True,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,,,,,1.0,0.5,0.5,1.0,1.0
siphonein,False,,,,,,,,,,,,,,,,,,,,,0.5,
siphonoxanthin,False,,,,,,,,,,,,,,,,,,,,,0.5,
crocoxanthin,False,,,,,,,,,,,,,,,0.5,,,,,,,
monadoxanthin,False,,,,,,,,,,,,,,,0.5,,,,,,,
pyrroxanthin,False,,,,,,,,,,,,,,,,0.5,,,,,,
