"ln taxon richness,",Pigment richness
2.6391,17
3.0445,18
3.7612,19
3.2958,14
3.2958,18
3.091,20
3.3673,18
3.8067,16
2.6391,5
2.6391,15
3.091,16
3.4965,20
3.2581,20
2.8332,18
2.9444,17
3.2958,21
3.3322,17
3.434,18
3.7377,18
3.6889,18
2.9957,15
3.5553,19
3.2958,23
3.0445,17
3.2581,17
2.8904,17
3.5264,19
3.091,18
3.3322,19
3.4657,21
3.3322,19
2.9957,17
3.4965,17
3.6109,22
3.7612,17
3.6376,20
3.434,19
3.2958,16
3.2958,19
2.4849,14
3.2958,21
3.2189,18
3.1781,17
3.2958,18
3.1781,16
3.1781,17
0,12
0,8
0,6
0.6931,11
0.6931,12
0.6931,8
1.0986,14
1.0986,11
1.0986,14
1.6094,15
1.6094,15
1.6094,16
1.9459,14
1.9459,16
1.9459,11
2.3026,18
2.3026,18
2.3026,17
