"lambs, water",water,"lambs, GliTri",GliTri
400,0.003948498,400,0.823370529
430.5236052,0.000400572,407.7733906,0.736858369
498.5648069,0.020978541,422.4377682,0.552011445
511.6635193,0.040835479,438.0085837,0.406546495
553.5416309,0.0610701,449.2772532,0.32795422
569.2429185,0.065213162,467.5158798,0.241579399
584.9751073,0.1047897,479.6738197,0.182683834
603.416309,0.250701001,497.9536481,0.143553648
620.0034335,0.27060372,511.8798283,0.112240343
640.0927039,0.306300429,549.3390558,0.06548784
651.4815451,0.365505007,566.7708155,0.053905579
660.2437768,0.412864092,591.1656652,0.026666667
668.9854077,0.436600858,614.6987124,0.011227468
681.2223176,0.468257511,632.1545064,0.027204578
691.7287554,0.515639485,647.8626609,0.039221745
700,0.625991416,661.816309,0.039404864
,,672.2712446,0.027731044
,,688.8377682,0.024011445
,,700,0.016206009
